	1	5	10	20	30
3666.01559	50.02415	17.89989	12.51099	3.37875	1.95778
3689.63931	51.54462	27.683	17.39517	10.88964	5.03304
3713.26303	52.3193	36.39676	22.01589	17.70552	11.82917
3736.88675	52.96872	41.33218	26.66859	20.54682	18.20836
3760.51052	52.64104	44.13758	31.51446	24.4053	20.87623
3784.13425	52.43678	45.15396	34.78962	27.17769	22.84926
3807.75797	52.43069	45.61961	35.75377	26.38873	23.42219
3831.38168	52.56199	45.6108	34.62489	24.79668	23.70835
3855.0054	52.23209	45.37541	32.86535	26.05851	24.55357
3878.62912	52.01759	44.59962	30.78947	28.40534	24.41764
3902.25284	51.7087	43.93275	29.29065	28.31517	24.73921
3925.87656	51.64841	43.24237	29.39953	26.18839	25.14545
3949.50027	51.41085	42.48516	31.14613	25.62339	25.09711
3973.12399	51.22884	41.45667	33.45969	27.58469	25.08137
3996.74771	51.05288	40.79684	35.53699	29.02069	25.66692
4020.37142	50.82603	40.2125	36.19861	27.93172	25.61087
4043.99515	50.66944	40.32946	35.54144	26.08404	25.62093
4067.61887	50.60511	40.71376	34.01416	26.65838	26.26994
4091.24259	50.41025	41.54009	32.17283	28.72222	26.53883
4114.8663	50.319	42.52774	30.65824	29.39246	26.33588
4138.49002	50.04992	43.37707	29.92549	27.91775	27.10897
4162.11374	49.95447	44.14878	30.43315	27.02008	27.02865
4185.73745	49.72904	44.40519	32.26077	27.69329	26.98808
4209.36118	49.70293	44.63841	34.42961	29.56006	27.40603
4232.9849	49.57979	44.80637	35.90908	29.64058	27.6218
4256.60861	49.51034	44.70447	36.03553	28.02438	27.60628
4280.23233	49.32135	44.22676	35.13059	27.3621	27.79704
4303.85604	49.21361	43.9479	33.79161	28.48815	28.2331
4327.47977	49.11809	43.45426	32.24358	29.83716	28.12421
4351.10348	48.96107	43.01551	30.92384	29.52618	28.13624
4374.72721	48.8412	42.34341	30.28816	27.91577	28.4633
4398.35093	48.77946	41.50716	30.82747	27.4627	28.20889
4421.97464	48.59352	40.82432	32.33712	28.74211	28.1373
4445.59835	48.50464	40.24244	34.03026	29.73463	28.30867
4469.22208	48.30082	40.15207	35.20704	29.25786	28.04296
4492.84579	48.3598	40.19604	35.62796	27.62685	27.8462
4516.46951	48.19984	40.59916	34.52089	27.38488	28.13347
4540.09324	48.17482	41.19365	33.1697	28.74124	28.0156
4563.71695	47.95063	41.95605	31.7118	29.76921	27.98285
4587.34067	48.03725	42.66665	30.66965	28.98618	28.18267
4610.96439	47.80523	43.25136	30.20326	27.68182	28.35944
4634.5881	47.75448	43.78434	30.72288	27.97509	28.34225
4658.21182	47.79424	43.97863	32.03718	29.33056	28.49531
4681.83554	47.52896	43.87951	33.66986	29.99559	28.83241
4705.45927	47.52126	43.75139	34.90239	28.91617	28.92585
4729.08298	47.40487	43.39581	35.13103	28.08198	29.00562
4752.70674	47.29374	43.17537	34.46164	28.24785	29.13987
4776.33048	47.12596	42.6791	33.13893	29.50904	29.0203
4799.95419	47.10902	42.16666	31.82337	29.86346	28.87612
4823.57791	47.00559	41.46091	30.77258	29.04576	28.92809
4847.20163	46.96804	40.69932	30.31018	27.99704	28.95043
4870.82535	46.87923	40.25227	30.58008	28.21207	28.6634
4894.44907	46.67951	39.96049	31.51962	29.27955	28.6553
4918.07279	46.73578	39.83816	33.01972	29.4843	28.7511
4941.6965	46.66024	39.83482	33.90976	28.55302	28.44416
4965.32022	46.59328	40.15701	34.14055	27.66874	28.43856
4988.94393	46.44167	40.63891	33.6307	28.13581	28.47521
5012.56766	46.30814	41.22768	32.6927	28.91121	28.2381
5036.19138	46.34108	41.60797	31.20768	28.98794	28.01525
5059.81509	46.34374	42.01233	30.26639	27.72658	27.9354
5083.43882	46.13837	42.34314	29.71344	27.00492	27.77206
5107.06253	46.12901	42.69302	29.81686	27.81106	27.61406
5130.68624	46.03022	42.62835	30.64103	28.6113	27.5662
5154.30997	45.99844	42.47431	31.7559	28.4228	27.76664
5177.93368	45.90385	42.24252	32.76176	27.4912	27.42974
5201.55741	45.92775	41.87567	33.17303	26.93697	27.78676
5225.18113	45.80278	41.51452	32.8841	27.77946	28.057
5248.80484	46.11902	41.10989	32.03253	28.87877	28.44116
5272.42856	45.98504	40.66634	31.35414	28.99509	28.60879
5296.05227	45.85583	40.33246	30.4139	28.19761	28.83777
5319.67599	45.92781	39.91827	29.99537	27.88019	29.12663
5343.29971	46.00093	39.35876	30.12703	28.60598	29.22177
5366.92343	45.92718	39.43376	30.77229	29.40482	29.40885
5390.54716	45.84264	39.5017	31.96598	28.94497	29.44532
5414.17087	45.6937	39.75655	32.89206	28.27804	29.1683
5437.79458	45.70574	39.93401	33.05258	27.93046	29.33426
5461.41831	45.89078	40.44234	32.79072	28.70772	29.16243
5485.04202	45.63819	41.08225	31.74675	29.21171	29.34328
5508.66573	45.64105	41.35797	30.87054	28.62584	29.24393
5532.28947	45.65649	41.66885	30.29505	28.07455	29.40338
5555.91318	45.75134	42.00293	29.71744	28.04042	29.27792
5579.5369	45.57599	41.83134	29.78637	28.56493	29.28052
5603.16061	45.52099	41.71869	30.38363	29.03616	29.31063
5626.78433	45.59174	41.49887	31.3921	28.86223	29.19195
5650.40805	45.55003	41.39369	32.00253	27.92012	29.2264
5674.03177	45.303	41.00884	32.30271	27.83777	29.03975
5697.65549	45.41526	40.75918	32.30977	28.37173	29.40024
5721.27922	45.63533	40.09323	31.54794	29.19349	29.19504
5744.90298	45.50342	39.83547	30.88304	28.55798	29.43762
5768.52671	45.3061	39.50591	30.02641	27.72557	29.40068
5792.15042	45.35836	38.87529	29.85427	27.86609	29.11285
5815.77413	45.15807	39.3584	29.84318	28.43502	29.23341
5839.39786	45.18306	39.05691	30.06832	28.72943	29.50851
5863.02158	45.36211	38.94196	30.73547	28.22448	29.20589
5886.6453	45.36863	39.52339	31.51503	27.56856	29.52879
5910.26901	45.16086	39.88596	31.7814	27.80343	29.26507
5933.89273	45.26612	40.07858	32.05038	28.30963	29.56871
5957.51645	45.21939	40.8757	31.25949	28.56599	29.25627
5981.14016	44.93354	40.71265	30.69022	28.09735	29.42321
6004.76388	44.9099	41.09937	29.86996	27.5864	29.18193
6028.38761	44.95864	41.32706	29.31698	27.99358	29.52846
6052.01132	44.83665	41.017	29.44676	28.40444	29.43956
6075.63505	44.81344	40.93522	29.46511	28.30189	29.33392
6099.25876	45.11063	40.84075	30.22989	28.14613	29.43222
6122.88247	44.78218	40.61206	31.0391	27.46632	29.48025
6146.50619	44.53648	40.17491	31.54891	27.71012	29.6194
6170.12991	44.69954	40.0446	31.33087	28.38212	29.76039
6193.75363	44.63343	39.4206	30.76018	28.61156	29.75617
6217.37736	44.97822	39.15983	30.11371	28.07203	29.40808
6241.00107	44.62895	38.77365	29.94726	27.7046	29.6853
6264.62479	44.70048	38.8981	29.46811	27.51933	29.87321
6288.2485	44.85311	39.07669	29.50006	28.0473	29.43634
6311.87222	44.89921	39.05457	29.39174	28.68905	29.44725
6335.49594	44.56597	39.41032	29.9208	28.40481	29.17037
6359.11966	44.69588	39.54629	30.61371	27.5975	29.61424
6382.74338	44.51647	39.74277	30.73291	27.64579	29.67472
6406.3671	44.77399	39.94789	30.46442	27.96607	29.58184
6429.99081	44.82532	40.19733	30.39238	28.17145	29.33105
6453.61453	44.69553	40.52109	29.91205	27.59167	29.66602
6477.23825	44.74557	40.44473	29.51444	27.86097	29.62274
6500.86197	44.90819	40.5288	28.89189	28.33365	29.15015
6524.48569	44.66711	40.39805	28.99058	28.00566	29.65911
6548.10941	44.6699	39.69083	29.84696	28.22742	29.53922
6571.73312	44.49032	40.43419	29.8289	27.9269	29.84654
6595.35684	44.84678	39.45511	29.75519	27.58512	29.66393
6618.98056	44.4659	40.03559	30.41913	27.84281	29.86253
6642.60428	44.60789	39.23172	30.27259	28.49094	29.28257
66599.228	44.66506	39.1089	29.60628	27.55892	29.65945
6689.85172	44.62849	39.05251	29.69293	27.60568	29.22549
6713.47546	45.07225	38.13017	28.98603	26.94666	29.10606
6737.09921	44.64702	38.50187	28.81113	27.64394	29.1677
6760.72293	44.772	38.70324	28.66878	27.0456	28.95255
6784.34665	44.66654	39.18764	29.63092	28.02614	28.8189
6807.97036	44.80055	38.40554	29.42778	27.18013	28.42477
6831.59409	44.35704	39.02227	30.21885	26.60126	29.32095
6855.21781	44.33549	39.36298	29.45585	27.23144	29.33697
6878.84152	43.85231	39.9502	29.79891	27.12551	29.29825
6902.46524	44.53221	39.69982	29.81457	27.39868	29.7066
6926.08896	44.59381	39.6942	29.16419	27.58514	28.89226
6949.71268	44.70678	40.2076	28.44803	26.27469	29.05981
6973.33639	45.37183	40.40717	29.98473	27.07042	28.94829
