Frequency (THz),n_real,n_imag
0.15,4.59426425118354,-2.86956350427038e-14
0.164864864864865,4.59672001096139,-2.52555939082995e-14
0.17972972972973,4.59941736973409,-1.91106187755069e-14
0.194594594594595,4.60235902967347,-7.49658102153921e-14
0.209459459459459,4.60554795782504,-2.59764317545191e-14
0.224324324324324,4.60898739446342,3.3501839643878e-14
0.239189189189189,4.61268086231071,-2.02138765634688e-14
0.254054054054054,4.6166321766687,-1.77234745153608e-14
0.268918918918919,4.62084545652194,-1.59664526397491e-14
0.283783783783784,4.62532513667459,-6.59580104285477e-15
0.298648648648649,4.63007598099113,-5.41412666226835e-15
0.313513513513514,4.63510309681866,1.97359390677165e-16
0.328378378378378,4.64041195067701,-1.58559166557554e-14
0.343243243243243,4.64600838531168,1.16113712558738e-14
0.358108108108108,4.65189863821575,4.00919678871921e-15
0.372972972972973,4.65808936173709,-1.44284987363836e-14
0.387837837837838,4.6645876449009,4.90356459196697e-16
0.402702702702703,4.67140103709083,-1.16222769250445e-14
0.417567567567568,4.67853757374794,1.0706076186934e-14
0.432432432432432,4.68600580426409,1.24163758384147e-14
0.447297297297297,4.69381482226576,3.62075355001555e-15
0.462162162162162,4.70197429850645,7.7781917006127e-15
0.477027027027027,4.71049451660991,1.70754744377374e-15
0.491891891891892,4.71938641193455,1.78963461701118e-14
0.506756756756757,4.72866161386017,1.02458169142913e-14
0.521621621621622,4.7383324918335,7.02617935875528e-15
0.536486486486486,4.74841220554873,-7.83630288668138e-15
0.551351351351351,4.75891475968427,2.78119993018001e-15
0.566216216216216,4.76985506366832,1.55944659467151e-15
0.581081081081081,4.78124899700391,-3.62187953563256e-15
0.595945945945946,4.79311348075078,8.32517246108199e-15
0.610810810810811,4.80546655583699,-3.69588570232058e-15
0.625675675675676,4.81832746896071,-2.94564898935511e-14
0.640540540540541,4.83171676694169,6.33985997535495e-15
0.655405405405405,4.84565640049749,4.99164137617303e-15
0.67027027027027,4.86016983855115,7.82530581289776e-15
0.685135135135135,4.87528219433063,-6.11242810801387e-15
0.7,4.89102036469692,2.64857967734132e-15
0.714864864864865,4.90741318434421,-3.36074285666646e-15
0.72972972972973,4.92449159675478,-2.44360374641113e-15
0.744594594594595,4.94228884407154,-1.48074758311827e-15
0.759459459459459,4.96084067837921,-1.17121532809679e-15
0.774324324324324,4.98018559726996,9.19712197955052e-15
0.789189189189189,5.00036510702416,-5.76653570430238e-15
0.804054054054054,5.02142401727217,-9.54507184489078e-15
0.818918918918919,5.04341077164122,1.46542503603187e-14
0.833783783783784,5.06637781964731,5.87239530303798e-16
0.848648648648649,5.09038203599758,2.06111032675637e-15
0.863513513513514,5.11548519455318,1.16305457853976e-14
0.878378378378378,5.14175450550721,-4.74567327532871e-15
0.893243243243243,5.16926322591093,2.96596743163875e-15
0.908108108108108,5.19809135559468,-6.26484593853268e-15
0.922972972972973,5.22832643286485,4.41463062938743e-15
0.937837837837838,5.26006444721622,-7.62969213412369e-17
0.952702702702703,5.29341088981758,7.43211486613107e-15
0.967567567567568,5.32848196688153,-5.69164174404164e-15
0.982432432432432,5.36540600644386,-5.88054529326766e-15
0.997297297297297,5.40432509585226,-9.92861313860201e-16
1.01216216216216,5.44539699578941,-7.25997639351645e-15
1.02702702702703,5.4887973874546,2.40749726267998e-15
