Scan Type:,SLOW
Start Pos:,4.50,End Pos:,19.50
Scan Length:,15.00
Motor Speed:,0.5000
Scan Time:,30.0000
Number of Points:,8000
Time,Amplitude,Frequency,Spectrum
0,14,0,-21.5793847990045
0.0125881168177241,14,0.01,-21.3518448048434
0.0251762336354481,14,0.02,-21.3086260996738
0.0377643504531722,14,0.03,-21.426385292514
0.0503524672708963,14,0.04,-21.414511518302
0.0629405840886203,14,0.05,-21.0731706893887
0.0755287009063444,14,0.06,-21.2107887299781
0.0881168177240685,14,0.07,-21.9908605834749
0.100704934541793,14,0.08,-21.4761919301433
0.113293051359517,14,0.09,-21.4189203275782
0.125881168177241,14,0.1,-21.6476483963749
0.138469284994965,14,0.11,-21.3394462563737
0.151057401812689,14,0.12,10.6576738637438
0.163645518630413,14,0.13,19.9155303360831
0.176233635448137,13.5,0.14,23.598414766586
0.188821752265861,11,0.15,24.4388501284702
0.201409869083585,10,0.16,24.0262956704713
0.213997985901309,9.5,0.17,26.7413321073849
0.226586102719033,8.5,0.18,29.5399467471416
0.239174219536757,8,0.19,29.7288410388437
0.251762336354481,12,0.2,28.412762071309
0.264350453172205,12.5,0.21,28.0069126057464
0.27693856998993,16,0.22,28.9135870185054
0.289526686807654,16,0.23,30.1562315457381
0.302114803625378,16.5,0.24,30.4732869562818
0.314702920443102,16.5,0.25,30.2038856003812
0.327291037260826,15.5,0.26,31.3541767437482
0.33987915407855,16.5,0.27,32.7510809802266
0.352467270896274,15.5,0.28,33.0756302706518
0.365055387713998,17,0.29,32.6247026412216
0.377643504531722,16.5,0.3,33.5524783489129
0.390231621349446,17.5,0.31,34.5774885756314
0.40281973816717,18,0.32,35.000898482218
0.415407854984895,19.5,0.33,33.984001581524
0.427995971802619,16.5,0.34,33.7505799364477
0.440584088620343,16.5,0.35,34.3826279848861
0.453172205438067,12,0.36,34.9497936806543
0.465760322255791,8.5,0.37,35.4533894436295
0.478348439073515,7,0.38,35.3858391163003
0.490936555891239,7.5,0.39,34.9776012419619
0.503524672708963,8.5,0.4,34.8777868345672
0.516112789526687,15,0.41,35.347313311154
0.528700906344411,10,0.42,35.5449704897746
0.541289023162135,12.5,0.43,34.9133967579222
0.55387713997986,11.5,0.44,34.8084620391308
0.566465256797584,12.5,0.45,34.4462582625737
0.579053373615308,11.5,0.46,34.3317620809298
0.591641490433032,11.5,0.47,34.5749091475447
0.604229607250756,14,0.48,34.3028202633893
0.61681772406848,12.5,0.49,34.064567045305
0.629405840886204,10,0.5,33.432757990079
0.641993957703928,11.5,0.51,33.7368192219428
0.654582074521652,12.5,0.52,33.9033735141671
0.667170191339376,14,0.53,33.8599374097607
0.6797583081571,15.5,0.54,33.2077653703182
0.692346424974825,14.5,0.55,33.1979790485447
0.704934541792549,15.5,0.56,33.2216702012933
0.717522658610273,13,0.57,31.0753539804806
0.730110775427997,13,0.58,30.9965748636912
0.742698892245721,14.5,0.59,32.3077487815503
0.755287009063445,13.5,0.6,32.6286519497199
0.767875125881169,14.5,0.61,32.9756139052898
0.780463242698893,12,0.62,32.9935615154144
0.793051359516617,15,0.63,33.1250356815115
0.805639476334341,15.5,0.64,33.30863530453
0.818227593152066,15.5,0.65,33.1334754434749
0.83081570996979,12,0.66,33.0023584284641
0.843403826787514,10.5,0.67,33.2295799918654
0.855991943605238,7.5,0.68,33.3533768886082
0.868580060422962,4,0.69,33.3257581244896
0.881168177240686,-0.5,0.7,33.0734387417252
0.89375629405841,1.5,0.71,32.8836566051442
0.906344410876134,2.5,0.72,32.4346454767798
0.918932527693858,3.5,0.73,32.4870904646424
0.931520644511582,5,0.74,32.4372311105905
0.944108761329306,7,0.75,32.3356458456171
0.956696878147031,6.5,0.76,31.6498963719504
0.969284994964755,8.5,0.77,30.5944517150284
0.981873111782479,8,0.78,29.9402438317268
0.994461228600203,8,0.79,30.8768107259735
1.00704934541793,10,0.8,30.6561505714784
1.01963746223565,10,0.81,30.2519755154832
1.03222557905337,9.5,0.82,29.9569424161871
1.0448136958711,10,0.83,29.3850695420357
1.05740181268882,10.5,0.84,28.8800884818799
1.06998992950655,9.5,0.85,28.3844566391926
1.08257804632427,11.5,0.86,28.0382974773795
1.09516616314199,9.5,0.87,27.6786767413736
1.10775427995972,9,0.88,27.2823475520844
1.12034239677744,8.5,0.89,26.6117687409641
1.13293051359517,8.5,0.9,26.0814612181847
1.14551863041289,9,0.91,25.9520211255117
1.15810674723061,9,0.92,25.6048122347112
1.17069486404834,8.5,0.93,25.1754359670876
1.18328298086606,10.5,0.94,25.1108213757004
1.19587109768379,10.5,0.95,24.817325277583
1.20845921450151,8,0.96,24.6546537694124
1.22104733131923,7.5,0.97,24.3087444732137
1.23363544813696,6.5,0.98,24.1146108541221
1.24622356495468,9,0.99,23.6059021609944
1.25881168177241,7.5,1,23.4276158297746
1.27139979859013,8.5,1.01,23.5022641533517
1.28398791540785,9.5,1.02,21.5334643777967
1.29657603222558,9,1.03,23.0867137181188
1.3091641490433,10.5,1.04,23.1269471883043
1.32175226586103,13.5,1.05,23.0430855085246
1.33434038267875,13.5,1.06,23.0987606185699
1.34692849949647,13.5,1.07,23.2045840437885
1.3595166163142,14.5,1.08,22.841991138298
1.37210473313192,13,1.09,22.8246001980415
1.38469284994965,10.5,1.1,22.453398756096
1.39728096676737,8,1.11,21.9673574453186
1.40986908358509,7,1.12,20.8770885604471
1.42245720040282,6,1.13,8.21333345587468
1.43504531722054,8.5,1.14,19.1429080793416
1.44763343403827,5,1.15,18.0875279902036
1.46022155085599,7,1.16,21.651294741103
1.47280966767371,6.5,1.17,21.344559358445
1.48539778449144,9,1.18,20.5144702213795
1.49798590130916,11,1.19,17.746990751632
1.51057401812689,12.5,1.2,1.20169605469719
1.52316213494461,11.5,1.21,20.4360759039839
1.53575025176233,10.5,1.22,20.9755727569054
1.54833836858006,9.5,1.23,20.8557729381367
1.56092648539778,8,1.24,18.5058902223164
1.57351460221551,7,1.25,17.5472105593687
1.58610271903323,2.5,1.26,18.4699542744588
1.59869083585095,3,1.27,16.715908223204
1.61127895266868,3,1.28,19.7649497004113
1.6238670694864,2.5,1.29,19.4370948280382
1.63645518630413,3,1.3,18.939561263225
1.64904330312185,5.5,1.31,18.7561481521788
1.66163141993957,6,1.32,18.3644258267164
1.6742195367573,-1.5,1.33,18.5800114698723
1.68680765357502,6.5,1.34,18.2215837595704
1.69939577039275,9.5,1.35,18.3551512447225
1.71198388721047,10.5,1.36,17.0255829451785
1.72457200402819,6,1.37,16.9929269386454
1.73716012084592,0,1.38,16.3442304204627
1.74974823766364,-6.5,1.39,16.6315357653792
1.76233635448137,-12,1.4,16.322853711523
1.77492447129909,-16.5,1.41,16.6420002506311
1.78751258811681,-10.5,1.42,16.4486524313586
1.80010070493454,-0.5,1.43,15.7941962935683
1.81268882175226,4.5,1.44,14.5150929244906
1.82527693856999,12,1.45,9.82780588796064
1.83786505538771,12,1.46,10.8957057652797
1.85045317220543,17,1.47,14.6686647849215
1.86304128902316,13,1.48,14.5464111855552
1.87562940584088,16,1.49,14.8074824606275
1.88821752265861,11.5,1.5,14.179451488474
1.90080563947633,10,1.51,14.2431407447568
1.91339375629405,10,1.52,14.0230928402748
1.92598187311178,12.5,1.53,13.8364698073497
1.9385699899295,18,1.54,13.8386995715543
1.95115810674723,18,1.55,13.8495682191872
1.96374622356495,8.5,1.56,13.9331970851232
1.97633434038267,12,1.57,13.4248192148069
1.9889224572004,11,1.58,13.1077603620955
2.00151057401812,8.5,1.59,12.9326138686604
2.01409869083585,6.5,1.6,13.6425534092855
2.02668680765357,8.5,1.61,12.8665577277343
2.03927492447129,5.5,1.62,13.0230699748714
2.05186304128902,0,1.63,12.5217550821085
2.06445115810674,-7.5,1.64,12.2019575717592
2.07703927492447,-3.5,1.65,6.07242432335304
2.08962739174219,-4,1.66,11.6540548504546
2.10221550855991,-3,1.67,12.4806874984625
2.11480362537764,-0.5,1.68,12.643288554319
2.12739174219536,0.5,1.69,11.9341753494321
2.13997985901309,-0.5,1.7,10.6751639708013
2.15256797583081,3.5,1.71,0.803403823943711
2.16515609264853,4,1.72,-12.5189829504216
2.17774420946626,8.5,1.73,4.01891076135432
2.19033232628398,10,1.74,10.9132458429667
2.20292044310171,10.5,1.75,11.0234072620664
2.21550855991943,7.5,1.76,7.41738787230905
2.22809667673715,4,1.77,-17.4324207010349
2.24068479355488,0.5,1.78,8.00508036240977
2.2532729103726,-1,1.79,10.843360425582
2.26586102719033,-3,1.8,11.5013163318105
2.27844914400805,-1,1.81,11.0674770112132
2.29103726082577,-1,1.82,9.09268718816027
2.3036253776435,0,1.83,11.4368169366404
2.31621349446122,0.5,1.84,10.9211617700214
2.32880161127895,1,1.85,3.80871297242742
2.34138972809667,-2,1.86,9.69469523483786
2.35397784491439,-0.5,1.87,10.6284955443924
2.36656596173212,-1,1.88,11.1411367098473
2.37915407854984,-0.5,1.89,10.218996203258
2.39174219536757,-0.5,1.9,10.2306758718424
2.40433031218529,-2.5,1.91,9.43042373793876
2.41691842900301,-2.5,1.92,5.38113924453365
2.42950654582074,-4,1.93,3.90705113646072
2.44209466263846,-2,1.94,8.94135333902883
2.45468277945619,-4.5,1.95,9.2145066522501
2.46727089627391,-3.5,1.96,8.68095030927846
2.47985901309163,-3,1.97,8.17802002084123
2.49244712990936,1.5,1.98,-3.73351453602693
2.50503524672708,1.5,1.99,8.12131242906842
2.5176233635448,2,2,8.18101275657485
2.53021148036253,4,2.01,8.10636038470665
2.54279959718025,6.5,2.02,9.03031698672043
2.55538771399798,5,2.03,8.14861532097062
2.5679758308157,6,2.04,7.67795443304454
2.58056394763342,4,2.05,7.39217909414382
2.59315206445115,3.5,2.06,7.0447232796376
2.60574018126887,1.5,2.07,7.32158361700125
2.6183282980866,-1.5,2.08,6.92256653869037
2.63091641490432,-2,2.09,6.97600672326721
2.64350453172204,-1.5,2.1,2.98411081679377
2.65609264853977,-0.5,2.11,5.16130033713417
2.66868076535749,0.5,2.12,5.67041613031904
2.68126888217522,-1.5,2.13,6.01457655757437
2.69385699899294,-0.5,2.14,1.97314774517144
2.70644511581066,1,2.15,5.79445269867043
2.71903323262839,0,2.16,6.24141847503167
2.73162134944611,1,2.17,6.1118727922319
2.74420946626384,1.5,2.18,5.71607101845816
2.75679758308156,1.5,2.19,3.99908403353844
2.76938569989928,0,2.2,5.13956433744304
2.78197381671701,-2.5,2.21,4.32237215888317
2.79456193353473,-4.5,2.22,2.64292913625866
2.80715005035246,-3.5,2.23,-11.7685632130386
2.81973816717018,-4.5,2.24,-0.675238169167025
2.8323262839879,-4.5,2.25,2.11022738660335
2.84491440080563,-4.5,2.26,-3.54278225128566
2.85750251762335,-4.5,2.27,-3.1045699526733
2.87009063444108,-6,2.28,0.972523017229763
2.8826787512588,-5,2.29,-15.9919197955608
2.89526686807652,-5.5,2.3,1.21195743878869
2.90785498489425,-4,2.31,1.28373058286508
2.92044310171197,-3,2.32,0.160665533784592
2.9330312185297,-2,2.33,-7.36330612646179
2.94561933534742,-2.5,2.34,-4.46810318277743
2.95820745216514,-4,2.35,2.68826181736834
2.97079556898287,-5,2.36,1.48269288433013
2.98338368580059,-5,2.37,1.52851151341347
2.99597180261832,-6,2.38,2.03455715718368
3.00855991943604,-4,2.39,0.945000344931134
3.02114803625376,-4,2.4,2.52507519737591
3.03373615307149,-1,2.41,-0.274222703862945
3.04632426988921,-2,2.42,-4.42454196238936
3.05891238670694,-1,2.43,0.337283621675802
3.07150050352466,-0.5,2.44,-6.74357160879997
3.08408862034238,-1,2.45,-1.93514264676144
3.09667673716011,-1.5,2.46,-5.81501110988865
3.10926485397783,-1.5,2.47,-6.95101968332068
3.12185297079556,-2,2.48,1.07527683253192
3.13444108761328,-1.5,2.49,0.86195993747002
3.147029204431,-1.5,2.5,0.743903625642923
